id,target
6489,0
6490,0
6491,1
6492,0
6493,0
6494,0
6495,0
6496,1
6497,0
6498,0
6499,1
6500,1
6501,0
6502,0
6503,0
6504,0
6505,1
6506,0
6507,0
6508,0
6509,1
6510,0
6511,0
6512,0
6513,0
6514,0
6515,1
6516,1
6517,1
6518,1
6519,0
6520,0
6521,0
6522,1
6523,1
6524,1
6525,0
6526,1
6527,1
6528,1
6529,1
6530,0
6531,0
6532,1
6533,0
6534,0
6535,1
6536,0
6537,1
6538,1
6539,1
6540,0
6541,0
6542,1
6543,0
6544,1
6545,1
6546,1
6547,1
6548,1
6549,0
6550,0
6551,0
6552,0
6553,0
6554,1
6555,0
6556,1
6557,1
6558,0
6559,0
6560,0
6561,1
6562,1
6563,0
6564,1
6565,1
6566,0
6567,1
6568,0
6569,1
6570,0
6571,1
6572,0
6573,0
6574,0
6575,0
6576,0
6577,1
6578,0
6579,0
6580,0
6581,1
6582,1
6583,0
6584,0
6585,0
6586,0
6587,1
6588,0
6589,1
6590,0
6591,1
6592,0
6593,0
6594,1
6595,1
6596,0
6597,1
6598,0
6599,1
6600,0
6601,0
6602,1
6603,1
6604,1
6605,0
6606,1
6607,1
6608,1
6609,0
6610,1
6611,0
6612,0
6613,1
6614,1
6615,0
6616,0
6617,1
6618,1
6619,0
6620,1
6621,1
6622,1
6623,0
6624,1
6625,0
6626,1
6627,1
6628,1
6629,1
6630,1
6631,1
6632,0
6633,0
6634,0
6635,1
6636,0
6637,1
6638,1
6639,0
6640,0
6641,1
6642,1
6643,1
6644,1
6645,0
6646,1
6647,0
6648,1
6649,0
6650,0
6651,1
6652,0
6653,0
6654,0
6655,0
6656,0
6657,1
6658,1
6659,0
6660,1
6661,0
6662,0
6663,0
6664,0
6665,0
6666,1
6667,0
6668,0
6669,1
6670,1
6671,1
6672,1
6673,0
6674,0
6675,0
6676,1
6677,0
6678,1
6679,0
6680,0
6681,0
6682,0
6683,0
6684,1
6685,1
6686,1
6687,1
6688,0
6689,1
6690,0
6691,1
6692,0
6693,0
6694,1
6695,0
6696,0
6697,1
6698,0
6699,0
6700,1
6701,0
6702,0
6703,1
6704,1
6705,1
6706,0
6707,0
6708,0
6709,1
6710,0
6711,1
6712,0
6713,0
6714,1
6715,1
6716,1
6717,1
6718,0
6719,0
6720,1
6721,1
6722,0
6723,0
6724,1
6725,1
6726,1
6727,0
6728,0
6729,0
6730,0
6731,1
6732,0
6733,1
6734,1
6735,1
6736,0
6737,1
6738,1
6739,0
6740,0
6741,0
6742,1
6743,0
6744,0
6745,0
6746,0
6747,0
6748,0
6749,1
6750,1
6751,0
6752,0
6753,0
6754,0
6755,1
6756,1
6757,1
6758,1
6759,0
6760,0
6761,0
6762,0
6763,1
6764,0
6765,0
6766,0
6767,0
6768,1
6769,1
6770,1
6771,0
6772,0
6773,0
6774,0
6775,0
6776,1
6777,0
6778,1
6779,0
6780,0
6781,0
6782,0
6783,1
6784,1
6785,0
6786,0
6787,1
6788,0
6789,1
6790,0
6791,0
6792,0
6793,1
6794,0
6795,1
6796,0
6797,0
6798,1
6799,0
6800,1
6801,1
6802,1
6803,0
6804,0
6805,0
6806,1
6807,0
6808,1
6809,0
6810,1
6811,1
6812,1
6813,0
6814,0
6815,1
6816,1
6817,1
6818,0
6819,0
6820,1
6821,1
6822,1
6823,0
6824,1
6825,0
6826,0
6827,1
6828,0
6829,1
6830,0
6831,1
6832,1
6833,0
6834,1
6835,1
6836,0
6837,0
6838,1
6839,0
6840,1
6841,0
6842,1
6843,0
6844,0
6845,0
6846,1
6847,0
6848,0
6849,0
6850,0
6851,1
6852,0
6853,1
6854,0
6855,1
6856,1
6857,1
6858,1
6859,1
6860,0
6861,0
6862,0
6863,0
6864,0
6865,0
6866,0
6867,1
6868,0
6869,0
6870,0
6871,1
6872,1
6873,1
6874,1
6875,1
6876,1
6877,0
6878,0
6879,1
6880,1
6881,1
6882,0
6883,0
6884,0
6885,0
6886,0
6887,1
6888,0
6889,0
6890,0
6891,0
6892,0
6893,0
6894,1
6895,0
6896,0
6897,1
6898,1
6899,0
6900,1
6901,1
6902,1
6903,0
6904,1
6905,0
6906,1
6907,1
6908,1
6909,1
6910,1
6911,1
6912,0
6913,0
6914,0
6915,1
6916,0
6917,0
6918,1
6919,0
6920,1
6921,1
6922,1
6923,0
6924,1
6925,1
6926,0
6927,1
6928,0
6929,1
6930,1
6931,0
6932,1
6933,0
6934,1
6935,1
6936,0
6937,0
6938,0
6939,1
6940,1
6941,0
6942,1
6943,0
6944,1
6945,0
6946,1
6947,0
6948,1
6949,0
6950,0
6951,0
6952,1
6953,1
6954,0
6955,0
6956,0
6957,0
6958,1
6959,1
6960,0
6961,1
6962,0
6963,1
6964,0
6965,0
6966,0
6967,0
6968,0
6969,1
6970,1
6971,1
6972,1
6973,1
6974,0
6975,1
6976,0
6977,1
6978,0
6979,0
6980,0
6981,0
6982,1
6983,0
6984,1
6985,0
6986,1
6987,1
6988,1
6989,0
6990,0
6991,0
6992,1
6993,0
6994,0
6995,0
6996,0
6997,1
6998,1
6999,0
7000,1
7001,1
7002,0
7003,1
7004,1
7005,1
7006,0
7007,0
7008,1
7009,1
7010,1
7011,0
7012,0
7013,1
7014,0
7015,1
7016,1
7017,0
7018,1
7019,0
7020,0
7021,0
7022,1
7023,1
7024,1
7025,1
7026,1
7027,1
7028,1
7029,0
7030,0
7031,1
7032,0
7033,0
7034,1
7035,1
7036,1
7037,0
7038,0
7039,0
7040,0
7041,0
7042,0
7043,0
7044,0
7045,0
7046,1
7047,0
7048,1
7049,1
7050,0
7051,1
7052,1
7053,1
7054,1
7055,1
7056,1
7057,1
7058,1
7059,1
7060,1
7061,0
7062,0
7063,1
7064,0
7065,0
7066,0
7067,0
7068,0
7069,0
7070,0
7071,0
7072,1
7073,1
7074,0
7075,0
7076,1
7077,1
7078,0
7079,0
7080,1
7081,1
7082,0
7083,0
7084,1
7085,0
7086,0
7087,1
7088,0
7089,1
7090,0
7091,1
7092,0
7093,0
7094,1
7095,0
7096,1
7097,0
7098,0
7099,1
7100,0
7101,0
7102,0
7103,0
7104,0
7105,0
7106,0
7107,1
7108,1
7109,0
7110,1
7111,0
7112,0
7113,0
7114,0
7115,1
7116,0
7117,0
7118,0
7119,0
7120,0
7121,0
7122,1
7123,1
7124,0
7125,0
7126,1
7127,1
7128,1
7129,0
7130,0
7131,0
7132,1
7133,1
7134,0
7135,1
7136,0
7137,0
7138,0
7139,0
7140,0
7141,0
7142,1
7143,1
7144,0
7145,0
7146,1
7147,0
7148,0
7149,0
7150,1
7151,0
7152,1
7153,0
7154,1
7155,1
7156,0
7157,0
7158,1
7159,1
7160,0
7161,0
7162,0
7163,0
7164,1
7165,1
7166,0
7167,1
7168,1
7169,1
7170,1
7171,1
7172,0
7173,1
7174,0
7175,0
7176,0
7177,0
7178,1
7179,1
7180,1
7181,0
7182,1
7183,0
7184,0
7185,0
7186,0
7187,0
7188,1
7189,0
7190,1
7191,1
7192,1
7193,1
7194,1
7195,1
7196,1
7197,1
7198,1
7199,0
7200,0
7201,0
7202,0
7203,1
7204,1
7205,0
7206,1
7207,1
7208,0
7209,0
7210,1
7211,0
7212,0
7213,0
7214,0
7215,1
7216,1
7217,0
7218,0
7219,1
7220,1
7221,0
7222,1
7223,1
7224,0
7225,1
7226,0
7227,0
7228,0
7229,0
7230,1
7231,1
7232,0
7233,1
7234,1
7235,0
7236,1
7237,0
7238,1
7239,0
7240,0
7241,1
7242,0
7243,1
7244,1
7245,0
7246,1
7247,0
7248,0
7249,1
7250,1
7251,0
7252,1
7253,0
7254,1
7255,1
7256,1
7257,1
7258,1
7259,0
7260,1
7261,1
7262,0
7263,0
7264,0
7265,1
7266,1
7267,0
7268,1
7269,1
7270,0
7271,0
7272,1
7273,0
7274,0
7275,0
7276,1
7277,1
7278,0
7279,1
7280,0
7281,1
7282,0
7283,0
7284,0
7285,1
7286,1
7287,0
7288,1
7289,0
7290,0
7291,0
7292,0
7293,0
7294,0
7295,0
7296,0
7297,0
7298,0
7299,0
7300,0
7301,0
7302,0
7303,1
7304,0
7305,0
7306,0
7307,0
7308,1
7309,1
7310,1
7311,1
7312,1
7313,1
7314,1
7315,1
7316,0
7317,1
7318,0
7319,1
7320,1
7321,1
7322,1
7323,1
7324,0
7325,0
7326,0
7327,1
7328,1
7329,1
7330,1
7331,0
7332,0
7333,1
7334,0
7335,0
7336,1
7337,0
7338,0
7339,0
7340,1
7341,0
7342,1
7343,1
7344,0
7345,0
7346,1
7347,0
7348,0
7349,1
7350,0
7351,1
7352,0
7353,1
7354,0
7355,0
7356,1
7357,0
7358,1
7359,1
7360,1
7361,0
7362,0
7363,0
7364,1
7365,0
7366,0
7367,1
7368,0
7369,0
7370,0
7371,0
7372,0
7373,1
7374,0
7375,0
7376,0
7377,0
7378,1
7379,1
7380,0
7381,0
7382,1
7383,1
7384,0
7385,0
7386,0
7387,0
7388,0
7389,1
7390,1
7391,0
7392,1
7393,0
7394,0
7395,0
7396,1
7397,0
7398,0
7399,1
7400,0
7401,0
7402,1
7403,1
7404,0
7405,0
7406,0
7407,0
7408,1
7409,0
7410,0
7411,0
7412,1
7413,1
7414,0
7415,1
7416,0
7417,0
7418,0
7419,1
7420,0
7421,0
7422,0
7423,0
7424,1
7425,1
7426,1
7427,1
7428,1
7429,1
7430,0
7431,0
7432,0
7433,0
7434,1
7435,0
7436,0
7437,0
7438,0
7439,1
7440,0
7441,0
7442,0
7443,0
7444,0
7445,0
7446,0
7447,0
7448,0
7449,1
7450,1
7451,0
7452,1
7453,1
7454,0
7455,1
7456,1
7457,0
7458,0
7459,0
7460,1
7461,1
7462,1
7463,0
7464,1
7465,1
7466,1
7467,1
7468,0
7469,0
7470,0
7471,0
7472,0
7473,1
7474,0
7475,0
7476,1
7477,0
7478,0
7479,1
7480,0
7481,0
7482,0
7483,1
7484,1
7485,0
7486,0
7487,0
7488,0
7489,0
7490,0
7491,1
7492,0
7493,0
7494,0
7495,0
7496,0
7497,1
7498,0
7499,1
7500,1
